dict_prices,dict_address,dict_sqft,dict_acres,dict_url,dict_broker
"$75,000","Tbd597 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Breezy-St_Brownwood_TX_76801_M85353-00064?from=srp-list-card,
"$95,000","426 S Beacon Ln,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/S-Beacon-Ln_Brownwood_TX_76801_M85284-05865?from=srp-list-card,
"$49,000","207 Second Wind Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Second-Wind-Dr_Brownwood_TX_76801_M85196-48368?from=srp-list-card,
"$29,000","782 Feather Bay Dr,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Kings-Point-Cv_Brownwood_TX_76801_M70489-73077?from=srp-list-card,
"$40,000","863 Pitchpole Cir,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/863-Pitchpole-Cir_Brownwood_TX_76801_M74144-07984?from=srp-list-card,
"$225,000","Tbd3 Breezy St,Brownwood, TX 76801",0,0,https://www.realtor.com/realestateandhomes-detail/Tbd3-Breezy-St_Brownwood_TX_76801_M94741-23361?from=srp-list-card,
"$475,000","2203 Austin Ave,Brownwood, TX 76801","3,296",0.44,https://www.realtor.com/realestateandhomes-detail/2203-Austin-Ave_Brownwood_TX_76801_M80060-30716?from=srp-list-card,Brokered by Texas Goldstar Real Estate
"$15,000","8015 County Road 588588,Brownwood, TX 76801",0,0.62,https://www.realtor.com/realestateandhomes-detail/8015-County-Road-588_Brownwood_TX_76801_M75873-47852?from=srp-list-card,Brokered by Ranch Pro Real Estate
"$198,500","7148 Ardee Dr,Brownwood, TX 76801","1,643",0.79,https://www.realtor.com/realestateandhomes-detail/7148-Ardee-Dr_Brownwood_TX_76801_M76877-42301?from=srp-list-card,Brokered by Ann Jones Real Estate
"$275,000","7205 Highway 279,Brownwood, TX 76801","2,911",1.64,https://www.realtor.com/realestateandhomes-detail/7205-Highway-279_Brownwood_TX_76801_M75338-71224?from=srp-list-card,Brokered by eXp Realty LLC
"$128,900","904 Melwood Ave,Brownwood, TX 76801","1,502","5,532",https://www.realtor.com/realestateandhomes-detail/904-Melwood-Ave_Brownwood_TX_76801_M72975-72621?from=srp-list-card,"Brokered by Coldwell Banker, Mark Campbell & As"
"$95,000","2216 Vine St,Brownwood, TX 76801",828,"9,879",https://www.realtor.com/realestateandhomes-detail/2216-Vine-St_Brownwood_TX_76801_M83114-99647?from=srp-list-card,Brokered by Wanda Jewell Real Estate
"$580,000","7574 Safe Harbor Dr,Brownwood, TX 76801","2,009",0.37,https://www.realtor.com/realestateandhomes-detail/7574-Safe-Harbor-Dr_Brownwood_TX_76801_M70531-09596?from=srp-list-card,"Brokered by All Cities USA, Inc"
"$934,900","11340 County Road 454,Brownwood, TX 76801","2,673",0.86,https://www.realtor.com/realestateandhomes-detail/11340-County-Road-454_Brownwood_TX_76801_M74287-06734?from=srp-list-card,Brokered by Ann Jones Real Estate
"$469,995","121 Park St,Brownwood, TX 76801","2,431",0.48,https://www.realtor.com/realestateandhomes-detail/121-Park-St_Brownwood_TX_76801_M89561-47564?from=srp-list-card,"Brokered by Coldwell Banker, Mark Campbell & As"
"$575,000","980 County Road 553,Brownwood, TX 76801","2,778",4.36,https://www.realtor.com/realestateandhomes-detail/980-County-Road-553_Brownwood_TX_76801_M85575-25517?from=srp-list-card,Brokered by Keller Williams Realty
"$225,000","3000 Waterstone Way Unit 3000,Brownwood, TX 76801","1,465",218,https://www.realtor.com/realestateandhomes-detail/3000-Waterstone-Way_Brownwood_TX_76801_M99932-01864?from=srp-list-card,Brokered by Paloma Property Group
"$240,000","1351 County Road 135,Brownwood, TX 76801","1,315",0.46,https://www.realtor.com/realestateandhomes-detail/1351-County-Road-135_Brownwood_TX_76801_M77437-23114?from=srp-list-card,Brokered by Kersh Real Estate
"$295,000","181 David St,Brownwood, TX 76801",845,"9,801",https://www.realtor.com/realestateandhomes-detail/181-David-St_Brownwood_TX_76801_M75792-61142?from=srp-list-card,Brokered by eXp Realty LLC
"$174,995","12070 County Road 105,Brownwood, TX 76801",0,29.73,https://www.realtor.com/realestateandhomes-detail/12070-County-Road-105_Brownwood_TX_76801_M91710-19095?from=srp-list-card,Brokered by Texas Realty
"$169,000","3908 Crestridge Dr,Brownwood, TX 76801","1,092","9,975",https://www.realtor.com/realestateandhomes-detail/3908-Crestridge-Dr_Brownwood_TX_76801_M82546-31818?from=srp-list-card,Brokered by KW Synergy
"$600,000","6201 Safe Haven Ln,Brownwood, TX 76801","3,142",5,https://www.realtor.com/realestateandhomes-detail/6201-Safe-Haven-Ln_Brownwood_TX_76801_M89688-49440?from=srp-list-card,"Brokered by Country World Realty, Llc"
"$139,000","175 David St,Brownwood, TX 76801","2,290","6,534",https://www.realtor.com/realestateandhomes-detail/175-David-St_Brownwood_TX_76801_M84319-73927?from=srp-list-card,Brokered by Keller Williams Realty
"$215,000","250 County Road 563,Brownwood, TX 76801","1,539",0.62,https://www.realtor.com/realestateandhomes-detail/250-County-Road-563_Brownwood_TX_76801_M76597-55578?from=srp-list-card,Brokered by Pine & Beckett REALTORS
